|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |93|020-060|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В САЛАВАТСКОМ Р-НЕ| |
 |94|020-061|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ Р-НЕ| |
 |95|020-062|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ Р-НЕ|31.05.2015|
 |96|020-062|Отдел УФМС России по Республике Башкортостан в Стерлитамакском районе| |
 |97|020-063|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ТАТЫШЛИНСКОМ Р-НЕ| |
 |98|020-064|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В УФИМСКОМ Р-НЕ| |
 |99|020-065|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ФЕДОРОВСКОМ Р-НЕ| |
 |100|020-066|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ Р-НЕ| |
 |101|020-067|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЧЕКМАГУШЕВСКОМ Р-НЕ| |
 |102|020-068|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЧИШМИНСКОМ Р-НЕ| |
 |103|020-069|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ШАРАНСКОМ Р-НЕ| |
 |104|020-070|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. МЕЖГОРЬЕ| |
 |105|021-001|МВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |106|022-001|ДЕМСКИЙ РОВД Г. УФЫ| |
 |107|022-002|КАЛИНИНСКИМ РАЙОННЫМ УВД Г. УФЫ| |
 |108|022-003|КИРОВСКИМ РАЙОННЫМ УВД Г. УФЫ| |
 |109|022-004|ЛЕНИНСКИЙ РОВД Г. УФЫ| |
 |110|022-005|ОРДЖОНИКИДЗЕВСКОЕ РАЙОННОЕ УВД Г. УФЫ| |
 |111|022-006|ОКТЯБРЬСКОЕ РАЙОННОЕ УВД Г. УФЫ| |
 |112|022-007|СОВЕТСКОЕ РАЙОННОЕ УВД Г. УФЫ| |
 |113|022-008|ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |114|022-009|УВД Г. УФЫ| |
 |115|022-010|УВД Г.БЕЛОРЕЦКА И БЕЛОРЕЦКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |116|022-011|УВД Г. НЕФТЕКАМСКА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |117|022-012|Октябрьский городской ОВД Республики Башкортостан| |
 |118|022-013|УВД Г. САЛАВАТА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |119|022-014|СИБАЙСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |120|022-015|УВД Г. СТЕРЛИТАМАКА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |121|022-016|ОВД Г. БИРСКА И БИРСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |122|022-017|ОВД Г.ИШИМБАЯ И ИШИМБАЙСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |123|022-019|КУМЕРТАУСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |124|022-020|ОВД Г.ТУЙМАЗЫ И ТУЙМАЗИНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |125|022-021|ОВД Г.УЧАЛЫ И УЧАЛИНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |126|022-022|АБЗЕЛИЛОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |127|022-023|АЛЬШЕЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |128|022-024|АРХАНГЕЛЬСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |129|022-025|АСКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |130|022-026|АУРГАЗИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |131|022-027|ОВД Г. БАЙМАКА И БАЙМАКСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |132|022-028|БАКАЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |133|022-029|БАЛТАЧЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |134|022-031|БЕЛОКАТАЙСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |135|022-033|БИЖБУЛЯКСИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |136|022-034|БЛАГОВАРСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |137|022-035|ОВД Г.БЛАГОВЕЩЕНСКА И БЛАГОВЕЩЕНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |138|022-036|БУЗДЯКСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |139|022-037|БУРАЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |140|022-038|БУРЗЯНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |141|022-039|ГАФУРИЙСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |142|022-040|ОВД Г.ДАВЛЕКАНОВО И ДАВЛЕКАНОВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |143|022-041|ДУВАНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |144|022-042|ДЮРТЮЛИНСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |145|022-043|ЕРМЕКЕЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |146|022-044|ЗИАНЧУРИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |147|022-045|ЗИЛАИРСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |148|022-046|ИГЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |149|022-047|ИЛИШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |150|022-048|КАЛТАСИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |151|022-049|КАРАИДЕЛЬСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |152|022-050|КАРМАСКАЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |153|022-051|КИГИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |154|022-052|КРАСНОКАМСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |155|022-053|КУГАРЧИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |156|022-054|КУШНАРЕНКОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |157|022-055|ОВД Г.МЕЛЕУЗА И МЕЛЕУЗОВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |158|022-056|МЕЧЕТЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |159|022-057|МИШКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |160|022-058|МИЯКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |161|022-059|НУРИМАНОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |162|022-060|САЛАВАТСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |163|022-061|СТЕРЛИБАШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |164|022-062|СТЕРЛИТАМАКСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |165|022-063|ТАТЫШЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |166|022-064|УФИМСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |167|022-065|КУЮРГАЗИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |168|022-066|ФЕДОРОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |169|022-067|ХАЙБУЛЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |170|022-068|ЧЕКМАГУШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |171|022-069|ЧИШМИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |172|022-070|ШАРАНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |173|022-071|ЯНАУЛЬСКИЙ ГОРОДСКОЕ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |174|022-072|ОВД Г.МЕЖГОРЬЯ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |175|022-073|АГИДЕЛЬСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |176|022-073|1 ОМ УВД Г. МЕЖГОРЬЕ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |177|022-073|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. АГИДЕЛЬ| |
 |178|022-073|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. АГИДЕЛЬ| |
 |179|022-074|ОВД ЗАТО г. Межгорье Республики Башкортостан| |
 |180|023-001|ШАИШИНСКОЕ ПОМ КАЛИНИНСКОГО РУВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |181|023-002|ПРИЮТОВСКОЕ ПОМ БЕЛЕБЕЕВСКОГО РОВД РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |182|023-003|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |183|023-004|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |184|023-005|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |185|023-006|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |186|023-007|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |187|023-008|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |188|023-009|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |189|023-010|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |190|023-011|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |191|023-012|РЕЗЕРВ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |192|023-013|ОВД В Г. АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН| |
 |193|030-000|ООВРП И РИГ УФМС РОССИИ ПО РБ| |
 |194|030-001|УФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ| |
 |195|030-002|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ЖЕЛЕЗНОДОРОЖНОМ Р-НЕ Г. УЛАН-УДЭ| |
 |196|030-003|ТП ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ЖЕЛЕЗНОДОРОЖНОМ Р-НЕ Г. УЛАН-УДЭ| |
 |197|030-004|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ОКТЯБРЬСКОМ Р-НЕ Г. УЛАН-УДЭ| |
 |198|030-005|ТП № 1 ОУФМС РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ В ОКТЯБРЬСКОМ Р-НЕ Г. УЛАН-УДЭ| |
