|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |41|020-012|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БЕЛОРЕЦК| |
 |42|020-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БИРСК| |
 |43|020-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. БЛАГОВЕЩЕНСК| |
 |44|020-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДАВЛЕКАНОВО| |
 |45|020-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |46|020-016|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |47|020-016|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ДЮРТЮЛИ| |
 |48|020-017|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ИШИМБАЙ| |
 |49|020-018|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. КУМЕРТАУ| |
 |50|020-019|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. МЕЛЕУЗ| |
 |51|020-020|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. НЕФТЕКАМСК| |
 |52|020-021|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ОКТЯБРЬСКИЙ| |
 |53|020-022|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. САЛАВАТ| |
 |54|020-023|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. СИБАЙ| |
 |55|020-024|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. СТЕРЛИТАМАК| |
 |56|020-025|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ТУЙМАЗЫ| |
 |57|020-026|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. УЧАЛЫ| |
 |58|020-027|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В Г. ЯНАУЛ| |
 |59|020-028|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В АБЗЕЛИЛОВСКОМ Р-НЕ| |
 |60|020-029|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В АЛЬШЕЕВСКОМ Р-НЕ| |
 |61|020-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В АРХАНГЕЛЬСКОМ Р-НЕ| |
 |62|020-031|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В АСКИНСКОМ Р-НЕ| |
 |63|020-032|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В АУРГАЗИНСКОМ Р-НЕ| |
 |64|020-033|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БАКАЛИНСКОМ Р-НЕ| |
 |65|020-034|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БАЛТАЧЕВСКОМ Р-НЕ| |
 |66|020-035|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ Р-НЕ| |
 |67|020-036|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БИЖБУЛЯКСКОМ Р-НЕ| |
 |68|020-037|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БЛАГОВАРСКОМ Р-НЕ| |
 |69|020-038|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БУЗДЯКСКОМ Р-НЕ| |
 |70|020-039|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БУРАЕВСКОМ Р-НЕ| |
 |71|020-040|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В БУРЗЯНСКОМ Р-НЕ| |
 |72|020-041|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ГАФУРИЙСКОМ Р-НЕ| |
 |73|020-042|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ДУВАНСКОМ Р-НЕ| |
 |74|020-043|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ Р-НЕ| |
 |75|020-044|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЗИАНЧУРИНСКОМ Р-НЕ| |
 |76|020-045|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ЗИЛАИРСКОМ Р-НЕ| |
 |77|020-046|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ИГЛИНСКОМ Р-НЕ| |
 |78|020-047|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В ИЛИШЕВСКОМ Р-НЕ|31.05.2015|
 |79|020-047|Миграционный пункт УФМС России по Республике Башкортостан в Илишевском районе| |
 |80|020-048|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КАЛТАСИНСКОМ Р-НЕ| |
 |81|020-049|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ Р-НЕ| |
 |82|020-050|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КАРМАСКАЛИНСКОМ Р-НЕ| |
 |83|020-051|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КИГИНСКОМ Р-НЕ| |
 |84|020-052|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КРАСНОКАМСКОМ Р-НЕ| |
 |85|020-053|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КУГАРЧИНСКОМ Р-НЕ|31.05.2015|
 |86|020-053|Миграционный пункт УФМС России по Республике Башкортостан в Кугарчинском районе| |
 |87|020-054|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КУШНАРЕНКОВСКОМ Р-НЕ| |
 |88|020-055|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В КУЮРГАЗИНСКОМ Р-НЕ| |
 |89|020-056|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ Р-НЕ| |
 |90|020-057|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В МИШКИНСКОМ Р-НЕ| |
 |91|020-058|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В МИЯКИНСКОМ Р-НЕ| |
 |92|020-059|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН В НУРИМАНОВСКОМ Р-НЕ| |
